               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088543,            0.032121,             0.03362,             0.51574,             0.16139,             0.14687,            0.031752,            0.063318,            0.032874,            0.029075,           0.0033257,           0.0033257,            0.070068
                   1,            0.062082,            0.022346,            0.021938,             0.65254,             0.72591,             0.75848,             0.31484,             0.04195,            0.015847,            0.013369,           0.0066576,           0.0066576,            0.040067
                   2,            0.051509,            0.016338,            0.013449,              0.8073,             0.86329,             0.86085,             0.32683,            0.041253,            0.013391,           0.0072497,           0.0099835,           0.0099835,             0.01006
                   3,            0.042743,            0.014139,           0.0099246,             0.93873,              0.9253,             0.96364,             0.49566,            0.031913,            0.010583,           0.0048345,             0.00998,             0.00998,             0.00998
                   4,            0.036848,            0.012478,           0.0078297,             0.96278,             0.95026,             0.97447,              0.6067,            0.026257,           0.0096639,            0.004099,             0.00998,             0.00998,             0.00998
                   5,            0.034043,            0.011848,           0.0071598,             0.95008,             0.96132,             0.97687,             0.62157,             0.02496,           0.0090792,           0.0035667,           0.0099645,           0.0099645,           0.0099645
                   6,            0.031768,            0.011365,            0.006865,             0.96104,             0.95816,             0.96937,             0.63467,            0.023246,           0.0090226,           0.0034903,           0.0099446,           0.0099446,           0.0099446
                   7,            0.031104,            0.010954,           0.0065847,             0.96463,             0.94837,              0.9815,             0.65231,             0.02291,           0.0084668,           0.0034333,           0.0099203,           0.0099203,           0.0099203
                   8,            0.029843,            0.010895,           0.0059598,             0.96807,             0.95953,             0.98127,             0.64947,            0.022955,           0.0084252,           0.0030625,           0.0098916,           0.0098916,           0.0098916
                   9,            0.028968,             0.01051,           0.0059199,             0.96947,             0.96519,             0.98643,             0.65688,            0.022628,           0.0082115,           0.0028884,           0.0098586,           0.0098586,           0.0098586
                  10,            0.028762,            0.010321,           0.0058641,             0.95622,             0.96732,             0.98335,             0.66496,            0.022001,            0.008107,           0.0032556,           0.0098213,           0.0098213,           0.0098213
                  11,            0.027897,            0.010185,           0.0055426,             0.95704,             0.96463,             0.97878,             0.66077,            0.021806,           0.0080036,           0.0033259,           0.0097798,           0.0097798,           0.0097798
                  12,            0.027547,            0.010244,           0.0055412,             0.97196,             0.96641,             0.98508,             0.67869,            0.021122,           0.0079012,           0.0028045,            0.009734,            0.009734,            0.009734
                  13,            0.027272,            0.010057,           0.0055278,             0.96357,             0.96622,             0.98526,             0.68684,              0.0206,           0.0077034,           0.0030409,            0.009684,            0.009684,            0.009684
                  14,            0.026799,           0.0098052,           0.0054831,             0.96332,             0.95573,             0.98155,              0.6749,            0.020862,           0.0077356,           0.0030648,           0.0096299,           0.0096299,           0.0096299
                  15,            0.026616,           0.0098811,           0.0052669,             0.97458,             0.96277,             0.98198,             0.67896,            0.021053,           0.0076835,           0.0028769,           0.0095717,           0.0095717,           0.0095717
                  16,            0.026301,           0.0097623,           0.0050633,             0.96254,             0.97366,             0.98391,               0.687,            0.020498,           0.0075708,           0.0027498,           0.0095095,           0.0095095,           0.0095095
                  17,            0.026127,           0.0095885,           0.0049955,             0.96522,             0.97417,             0.98458,             0.68419,            0.020142,           0.0075615,           0.0028517,           0.0094434,           0.0094434,           0.0094434
                  18,            0.025958,           0.0097046,            0.005101,             0.96964,              0.9655,             0.98489,             0.69374,            0.019803,           0.0074405,           0.0028519,           0.0093733,           0.0093733,           0.0093733
                  19,            0.025849,           0.0095669,           0.0050691,             0.97078,             0.96323,             0.98663,             0.69477,            0.019913,           0.0075106,            0.002997,           0.0092995,           0.0092995,           0.0092995
                  20,            0.025435,           0.0095795,           0.0049601,             0.95774,             0.96819,             0.98288,             0.69407,            0.019683,           0.0074199,           0.0030955,           0.0092219,           0.0092219,           0.0092219
                  21,            0.025338,           0.0095961,           0.0049524,              0.9678,             0.97584,             0.98808,             0.70143,            0.019351,           0.0072994,           0.0026935,           0.0091406,           0.0091406,           0.0091406
                  22,            0.025322,            0.009484,           0.0048601,             0.96659,             0.96997,             0.98613,             0.69733,            0.019594,           0.0073628,           0.0026952,           0.0090557,           0.0090557,           0.0090557
                  23,            0.024955,           0.0093373,           0.0047404,             0.96368,             0.97767,              0.9871,             0.70625,             0.01946,           0.0073319,           0.0024956,           0.0089673,           0.0089673,           0.0089673
                  24,            0.024998,           0.0094294,           0.0045318,             0.97527,             0.96745,             0.98691,             0.70638,            0.019427,           0.0072816,           0.0025963,           0.0088755,           0.0088755,           0.0088755
                  25,            0.024575,           0.0092706,           0.0046673,             0.96174,             0.98327,             0.98602,              0.7095,            0.019282,           0.0072863,           0.0025848,           0.0087804,           0.0087804,           0.0087804
                  26,            0.024718,           0.0093331,           0.0043828,             0.97286,             0.97566,             0.98828,             0.70956,            0.019322,           0.0072516,           0.0024281,            0.008682,            0.008682,            0.008682
                  27,            0.024592,           0.0093352,           0.0042809,             0.96733,             0.98037,               0.987,             0.70849,            0.019181,           0.0071855,            0.002559,           0.0085805,           0.0085805,           0.0085805
                  28,             0.02434,           0.0092409,           0.0045821,             0.97421,             0.96667,             0.98604,             0.71043,            0.019004,           0.0072178,           0.0026224,           0.0084759,           0.0084759,           0.0084759
                  29,            0.024333,            0.009213,           0.0045479,             0.97881,             0.95906,             0.98716,             0.70916,            0.019224,           0.0072037,            0.002527,           0.0083684,           0.0083684,           0.0083684
                  30,            0.024199,           0.0092232,           0.0042227,             0.96397,             0.97668,             0.98841,             0.71139,            0.018998,           0.0071491,           0.0026666,           0.0082581,           0.0082581,           0.0082581
                  31,            0.024069,           0.0091213,           0.0041713,             0.97252,             0.97106,             0.98565,             0.71269,             0.01888,           0.0071292,           0.0025192,            0.008145,            0.008145,            0.008145
                  32,            0.023996,           0.0091097,           0.0042258,             0.96037,             0.97628,             0.98407,             0.70836,            0.018743,           0.0071147,           0.0026585,           0.0080294,           0.0080294,           0.0080294
                  33,            0.023643,           0.0090694,           0.0041167,             0.97261,             0.96786,               0.987,             0.71388,            0.018611,           0.0070229,           0.0025313,           0.0079112,           0.0079112,           0.0079112
                  34,            0.023735,            0.009049,           0.0040309,             0.97218,             0.97131,             0.98735,             0.71151,            0.018696,           0.0070444,           0.0026419,           0.0077907,           0.0077907,           0.0077907
                  35,            0.023742,             0.00917,           0.0042504,             0.97331,             0.97311,             0.98611,             0.71564,             0.01859,            0.007033,           0.0025325,           0.0076679,           0.0076679,           0.0076679
                  36,            0.023402,           0.0089218,           0.0041328,             0.97543,             0.96846,             0.98855,             0.71141,            0.018664,           0.0070479,           0.0024875,            0.007543,            0.007543,            0.007543
                  37,            0.023593,           0.0090169,           0.0039717,             0.97133,             0.97468,             0.98886,             0.71754,            0.018518,           0.0070249,           0.0025618,            0.007416,            0.007416,            0.007416
                  38,            0.023386,             0.00895,           0.0041678,             0.97258,             0.97154,             0.98572,             0.71742,            0.018514,           0.0070456,           0.0025879,           0.0072872,           0.0072872,           0.0072872
                  39,            0.023397,           0.0089564,           0.0041105,              0.9699,             0.97771,             0.98723,             0.71828,            0.018487,           0.0069819,           0.0025497,           0.0071566,           0.0071566,           0.0071566
                  40,            0.023088,           0.0089282,           0.0039455,             0.97326,             0.97344,             0.98648,             0.71823,            0.018476,           0.0069873,           0.0022306,           0.0070243,           0.0070243,           0.0070243
                  41,             0.02289,           0.0087791,           0.0039192,             0.96897,              0.9745,             0.98699,             0.71533,            0.018383,           0.0069741,           0.0024829,           0.0068906,           0.0068906,           0.0068906
                  42,            0.023091,           0.0089015,           0.0037682,             0.97473,             0.97145,             0.98852,             0.71906,            0.018348,           0.0069629,            0.002341,           0.0067555,           0.0067555,           0.0067555
                  43,            0.023034,           0.0088566,           0.0039663,             0.97473,             0.97322,              0.9886,             0.72608,            0.018129,           0.0069298,           0.0023982,           0.0066191,           0.0066191,           0.0066191
                  44,             0.02288,           0.0087165,           0.0036749,             0.96803,             0.97898,             0.98705,             0.72054,            0.018327,           0.0069395,           0.0024637,           0.0064816,           0.0064816,           0.0064816
                  45,            0.022686,           0.0087507,           0.0037344,              0.9703,             0.97473,             0.98734,             0.72167,            0.018211,           0.0069483,           0.0023749,           0.0063432,           0.0063432,           0.0063432
                  46,            0.022509,           0.0088236,           0.0035774,             0.97821,             0.97578,              0.9898,             0.72781,            0.018057,           0.0068995,           0.0021609,            0.006204,            0.006204,            0.006204
                  47,            0.022554,           0.0087277,           0.0035869,             0.97358,             0.97562,             0.98866,             0.72667,            0.018127,           0.0068691,           0.0023305,            0.006064,            0.006064,            0.006064
                  48,             0.02254,           0.0087903,           0.0037099,             0.97636,             0.96851,             0.98818,             0.72596,            0.018128,           0.0068855,           0.0023937,           0.0059235,           0.0059235,           0.0059235
                  49,            0.022432,           0.0086967,           0.0034414,             0.97343,             0.97584,             0.98732,             0.72169,            0.018167,           0.0068288,           0.0023302,           0.0057826,           0.0057826,           0.0057826
                  50,            0.022382,           0.0087732,           0.0035942,             0.97533,             0.97181,              0.9875,             0.71904,            0.018152,           0.0068539,           0.0023676,           0.0056413,           0.0056413,           0.0056413
                  51,            0.022285,           0.0087395,           0.0035529,             0.97365,             0.97834,             0.98954,             0.72431,            0.018036,           0.0068337,           0.0022687,              0.0055,              0.0055,              0.0055
                  52,            0.022213,           0.0086942,           0.0033238,             0.97901,             0.97479,             0.98919,             0.72219,             0.01808,            0.006853,           0.0022672,           0.0053587,           0.0053587,           0.0053587
                  53,            0.022131,           0.0086656,           0.0031821,             0.97564,             0.97935,             0.98936,             0.72277,            0.018028,           0.0068313,           0.0022357,           0.0052174,           0.0052174,           0.0052174
