               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088903,             0.03286,            0.034033,             0.36008,            0.043688,            0.021779,           0.0052352,            0.076642,            0.030685,            0.031686,           0.0033257,           0.0033257,            0.070068
                   1,            0.063779,            0.023992,            0.022282,             0.54211,             0.73059,             0.61595,              0.1939,            0.052265,            0.015725,            0.013586,           0.0066576,           0.0066576,            0.040067
                   2,            0.052371,            0.016895,            0.012774,              0.7727,             0.86525,             0.84708,             0.36147,             0.03944,            0.013636,           0.0066245,           0.0099835,           0.0099835,             0.01006
                   3,            0.042968,            0.014186,           0.0095379,             0.93949,             0.94784,             0.97266,             0.56279,            0.029443,            0.010583,           0.0047577,             0.00998,             0.00998,             0.00998
                   4,            0.036898,            0.012561,           0.0080513,             0.94349,             0.95943,             0.96384,             0.57257,            0.027142,           0.0096053,           0.0040612,             0.00998,             0.00998,             0.00998
                   5,            0.033894,            0.011926,           0.0071794,             0.94767,             0.94672,             0.97054,             0.60317,            0.025503,           0.0092142,            0.003973,           0.0099645,           0.0099645,           0.0099645
                   6,            0.032484,            0.011401,            0.006611,             0.95195,             0.96873,             0.98282,             0.62261,            0.024542,           0.0088378,            0.003231,           0.0099446,           0.0099446,           0.0099446
                   7,            0.030735,            0.011104,           0.0065645,             0.95076,             0.96188,             0.97617,              0.6191,            0.024551,           0.0086667,           0.0034381,           0.0099203,           0.0099203,           0.0099203
                   8,            0.030077,            0.010956,           0.0060825,             0.96031,             0.96407,             0.97751,             0.65776,            0.022066,            0.008323,           0.0031614,           0.0098916,           0.0098916,           0.0098916
                   9,            0.029158,            0.010664,           0.0059318,              0.9679,             0.96846,             0.98482,             0.66297,             0.02164,           0.0082954,           0.0028687,           0.0098586,           0.0098586,           0.0098586
                  10,            0.028701,            0.010435,           0.0056564,             0.97434,              0.9603,             0.98343,              0.6714,            0.021721,           0.0081489,           0.0030518,           0.0098213,           0.0098213,           0.0098213
                  11,            0.028033,            0.010218,           0.0054353,             0.96364,             0.96785,              0.9852,             0.66308,            0.021893,           0.0080773,           0.0031878,           0.0097798,           0.0097798,           0.0097798
                  12,             0.02813,            0.010181,           0.0056149,             0.96988,             0.97335,             0.98337,             0.67262,            0.021168,           0.0079088,           0.0028812,            0.009734,            0.009734,            0.009734
                  13,            0.027136,            0.010017,           0.0053637,             0.96391,              0.9727,             0.98577,             0.67099,            0.021238,           0.0079112,           0.0028121,            0.009684,            0.009684,            0.009684
                  14,            0.027122,           0.0099577,           0.0052092,             0.97814,             0.96181,             0.98684,             0.68811,            0.020609,           0.0077407,           0.0028124,           0.0096299,           0.0096299,           0.0096299
                  15,            0.026788,           0.0099242,           0.0050082,             0.95759,             0.97583,             0.98555,             0.69041,            0.020281,           0.0076332,           0.0029494,           0.0095717,           0.0095717,           0.0095717
                  16,            0.026454,           0.0098453,            0.005158,             0.96857,             0.96442,             0.98451,             0.68074,            0.020647,           0.0077428,           0.0030745,           0.0095095,           0.0095095,           0.0095095
                  17,            0.026091,           0.0098605,           0.0052844,             0.97158,             0.96956,             0.98712,             0.69582,            0.019982,           0.0075572,           0.0026525,           0.0094434,           0.0094434,           0.0094434
                  18,            0.026101,            0.009624,           0.0049451,             0.96984,             0.97376,             0.98697,             0.68657,            0.020408,           0.0076822,           0.0025358,           0.0093733,           0.0093733,           0.0093733
                  19,            0.025835,           0.0095348,           0.0051157,             0.96782,             0.97535,             0.98673,             0.69753,            0.019804,           0.0074682,             0.00286,           0.0092995,           0.0092995,           0.0092995
                  20,            0.025747,           0.0096201,           0.0049992,             0.96466,             0.97653,             0.98463,              0.7024,            0.019587,           0.0073798,           0.0026319,           0.0092219,           0.0092219,           0.0092219
                  21,            0.025442,           0.0096468,           0.0047555,             0.96973,              0.9767,             0.98408,             0.69871,            0.019685,           0.0073636,           0.0024156,           0.0091406,           0.0091406,           0.0091406
                  22,            0.025359,           0.0095622,           0.0048073,             0.97756,             0.97258,             0.98681,             0.70649,            0.019397,           0.0073344,           0.0025619,           0.0090557,           0.0090557,           0.0090557
                  23,            0.025141,           0.0094216,           0.0046317,              0.9786,             0.97511,              0.9872,              0.6979,            0.019609,           0.0073279,           0.0022987,           0.0089673,           0.0089673,           0.0089673
                  24,            0.024884,           0.0093796,           0.0045885,             0.97174,             0.96584,             0.98801,             0.70114,            0.019617,           0.0073273,           0.0025863,           0.0088755,           0.0088755,           0.0088755
                  25,            0.024985,           0.0094052,           0.0044773,             0.97187,             0.97216,              0.9867,             0.70572,             0.01939,           0.0073366,           0.0027671,           0.0087804,           0.0087804,           0.0087804
                  26,            0.024625,           0.0094409,           0.0044647,             0.96807,             0.97561,             0.98713,             0.70477,            0.019115,           0.0072127,            0.002617,            0.008682,            0.008682,            0.008682
                  27,            0.024661,            0.009351,           0.0045828,             0.97384,             0.98082,             0.98664,             0.70299,             0.01917,           0.0072424,           0.0023842,           0.0085805,           0.0085805,           0.0085805
                  28,            0.024618,           0.0092283,           0.0046183,             0.97664,             0.97531,              0.9886,             0.71305,            0.018824,           0.0071224,            0.002279,           0.0084759,           0.0084759,           0.0084759
                  29,            0.024261,           0.0092762,           0.0044188,             0.97262,             0.97076,             0.98703,             0.71083,            0.018948,           0.0072062,           0.0026301,           0.0083684,           0.0083684,           0.0083684
                  30,            0.024053,           0.0091719,           0.0039526,             0.97149,             0.97653,             0.98748,             0.71223,            0.018792,           0.0071416,           0.0023625,           0.0082581,           0.0082581,           0.0082581
                  31,            0.024019,           0.0091569,           0.0043587,             0.96747,             0.97882,             0.98953,             0.71685,             0.01865,           0.0070825,           0.0024425,            0.008145,            0.008145,            0.008145
                  32,            0.023995,           0.0091422,            0.004304,             0.96971,             0.97981,             0.98905,             0.71496,            0.018774,            0.007119,           0.0023864,           0.0080294,           0.0080294,           0.0080294
                  33,            0.023942,           0.0090552,           0.0044642,             0.97459,             0.97871,             0.98782,             0.71247,            0.018693,           0.0070541,           0.0024185,           0.0079112,           0.0079112,           0.0079112
                  34,            0.023745,           0.0091302,           0.0040346,             0.97583,             0.96589,             0.98709,             0.71658,            0.018759,            0.007067,           0.0025563,           0.0077907,           0.0077907,           0.0077907
                  35,            0.023771,            0.009022,           0.0039703,             0.96975,             0.97735,             0.98813,             0.71748,            0.018639,           0.0070226,           0.0024099,           0.0076679,           0.0076679,           0.0076679
                  36,             0.02347,           0.0090542,            0.004069,             0.97258,             0.97556,             0.98762,              0.7146,            0.018627,           0.0070393,           0.0024912,            0.007543,            0.007543,            0.007543
                  37,            0.023453,           0.0090997,            0.003922,             0.97153,             0.97632,             0.98717,              0.7198,            0.018519,           0.0070008,           0.0023191,            0.007416,            0.007416,            0.007416
                  38,            0.023367,           0.0090591,           0.0038482,             0.97613,             0.97546,             0.98474,             0.71246,             0.01854,           0.0069932,           0.0021985,           0.0072872,           0.0072872,           0.0072872
                  39,            0.023232,           0.0089961,           0.0037715,             0.97551,               0.972,             0.98825,             0.71991,            0.018464,           0.0069809,           0.0022897,           0.0071566,           0.0071566,           0.0071566
                  40,            0.023003,           0.0088809,           0.0037324,              0.9718,             0.97772,             0.98976,             0.72214,            0.018358,           0.0069704,           0.0023511,           0.0070243,           0.0070243,           0.0070243
                  41,            0.023258,           0.0088913,            0.003822,             0.97222,             0.97668,             0.98719,             0.72119,            0.018241,           0.0069544,           0.0024166,           0.0068906,           0.0068906,           0.0068906
                  42,            0.022836,           0.0088336,           0.0036468,             0.98123,             0.97128,              0.9875,             0.71915,            0.018348,           0.0069602,           0.0022097,           0.0067555,           0.0067555,           0.0067555
                  43,            0.022932,           0.0088316,           0.0035089,             0.97308,             0.97561,             0.98708,             0.72285,            0.018335,           0.0069739,           0.0022322,           0.0066191,           0.0066191,           0.0066191
                  44,             0.02284,           0.0088636,           0.0034495,             0.97712,             0.97768,             0.98807,             0.71923,            0.018331,           0.0069443,           0.0021511,           0.0064816,           0.0064816,           0.0064816
