               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089244,            0.032155,            0.033812,             0.80976,             0.17668,             0.15574,            0.031949,            0.064373,            0.029146,            0.028884,           0.0033257,           0.0033257,            0.070068
                   1,             0.06226,             0.02157,            0.021617,             0.51949,             0.76372,             0.66181,             0.24286,            0.043885,            0.014645,            0.013682,           0.0066576,           0.0066576,            0.040067
                   2,            0.052402,            0.016496,            0.013716,             0.78461,             0.83172,             0.84799,             0.30397,             0.04149,            0.012861,           0.0077253,           0.0099835,           0.0099835,             0.01006
                   3,            0.042617,            0.014002,            0.009435,             0.93862,             0.93788,              0.9598,              0.5145,            0.031306,            0.010797,           0.0043039,             0.00998,             0.00998,             0.00998
                   4,            0.036933,            0.012585,           0.0080552,             0.95438,             0.96103,             0.97484,             0.59363,            0.027094,           0.0095933,           0.0039786,             0.00998,             0.00998,             0.00998
                   5,            0.034135,            0.011822,           0.0072114,             0.95836,             0.94483,             0.97351,             0.60542,            0.024848,           0.0091805,           0.0040331,           0.0099645,           0.0099645,           0.0099645
                   6,              0.0321,            0.011409,           0.0068995,             0.96007,             0.96361,             0.98073,             0.64137,            0.023228,           0.0085932,           0.0035969,           0.0099446,           0.0099446,           0.0099446
                   7,            0.030727,             0.01096,           0.0063115,             0.96385,             0.95209,             0.98134,             0.63086,            0.024413,           0.0086331,           0.0035743,           0.0099203,           0.0099203,           0.0099203
                   8,            0.029777,            0.010713,           0.0061992,              0.9628,             0.96454,             0.98488,             0.66122,            0.022453,           0.0083545,           0.0032424,           0.0098916,           0.0098916,           0.0098916
                   9,            0.029367,            0.010543,           0.0061351,             0.95999,             0.96986,             0.97869,             0.65547,            0.022117,           0.0082478,           0.0030154,           0.0098586,           0.0098586,           0.0098586
                  10,            0.028612,            0.010485,           0.0059765,             0.97681,             0.95178,              0.9841,             0.66361,            0.021975,             0.00816,           0.0032712,           0.0098213,           0.0098213,           0.0098213
