               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08832,            0.032584,            0.033559,             0.20835,             0.22242,             0.15219,            0.031862,            0.064594,            0.031485,            0.028829,           0.0033257,           0.0033257,            0.070068
                   1,            0.061985,            0.022035,            0.021125,             0.60016,             0.73249,             0.68092,             0.21317,            0.048162,            0.015673,            0.011218,           0.0066576,           0.0066576,            0.040067
                   2,            0.051882,            0.016633,            0.012833,              0.7783,             0.86358,             0.84924,             0.36357,            0.040408,            0.012531,           0.0060761,           0.0099835,           0.0099835,             0.01006
                   3,            0.042844,            0.014042,           0.0092794,             0.94898,             0.92815,             0.96735,             0.52911,            0.030254,            0.010478,           0.0041441,             0.00998,             0.00998,             0.00998
                   4,            0.036641,            0.012467,           0.0077265,             0.94576,             0.96123,             0.97442,             0.59151,            0.027055,           0.0096684,           0.0040313,             0.00998,             0.00998,             0.00998
                   5,            0.033892,            0.011768,            0.006963,             0.95553,             0.96977,             0.98018,             0.62685,            0.024904,           0.0090152,           0.0036014,           0.0099645,           0.0099645,           0.0099645
                   6,            0.031872,            0.011073,           0.0065844,             0.96043,             0.96471,             0.98059,             0.62733,            0.024024,           0.0087217,           0.0034083,           0.0099446,           0.0099446,           0.0099446
                   7,            0.030697,            0.011061,           0.0065734,             0.96142,             0.95694,             0.97956,             0.63954,             0.02352,           0.0084501,           0.0037139,           0.0099203,           0.0099203,           0.0099203
                   8,            0.030062,             0.01074,           0.0062483,             0.97137,             0.94701,             0.98026,             0.64429,            0.023264,           0.0085716,             0.00365,           0.0098916,           0.0098916,           0.0098916
                   9,            0.029383,            0.010513,           0.0060748,             0.96142,             0.96472,             0.97806,             0.65664,             0.02193,           0.0082024,           0.0033101,           0.0098586,           0.0098586,           0.0098586
                  10,            0.028395,            0.010449,           0.0057943,             0.96809,             0.96291,             0.98359,             0.67318,            0.021632,           0.0080259,           0.0031657,           0.0098213,           0.0098213,           0.0098213
                  11,            0.028395,            0.010225,           0.0053442,             0.96256,             0.96641,             0.98509,             0.67498,            0.021191,           0.0079152,           0.0031029,           0.0097798,           0.0097798,           0.0097798
                  12,             0.02768,            0.010228,           0.0053378,             0.96254,             0.96775,             0.98237,             0.68421,            0.020803,           0.0078428,           0.0033303,            0.009734,            0.009734,            0.009734
                  13,            0.027159,            0.010064,           0.0053555,             0.97574,             0.96799,             0.98587,             0.69289,             0.02033,           0.0076003,           0.0029624,            0.009684,            0.009684,            0.009684
                  14,            0.026968,           0.0098919,           0.0052424,             0.97358,             0.96136,             0.98535,              0.6848,            0.020838,           0.0077184,           0.0028924,           0.0096299,           0.0096299,           0.0096299
                  15,            0.026818,           0.0099154,           0.0052523,             0.96557,             0.97014,             0.98194,             0.68214,             0.02081,           0.0077889,           0.0028834,           0.0095717,           0.0095717,           0.0095717
                  16,            0.026406,           0.0097634,           0.0049147,             0.97638,             0.96934,             0.98546,             0.70007,            0.020028,           0.0075005,           0.0026984,           0.0095095,           0.0095095,           0.0095095
                  17,            0.026248,           0.0096984,           0.0050363,             0.97587,             0.96933,             0.98628,             0.69427,            0.020037,           0.0075497,           0.0026594,           0.0094434,           0.0094434,           0.0094434
                  18,            0.025968,           0.0096625,           0.0049867,             0.97025,             0.98031,             0.98659,             0.69413,            0.020077,           0.0074601,           0.0025521,           0.0093733,           0.0093733,           0.0093733
                  19,             0.02583,           0.0096215,           0.0050021,             0.96473,             0.97772,             0.98347,             0.69192,            0.020035,           0.0074766,           0.0026782,           0.0092995,           0.0092995,           0.0092995
                  20,            0.025537,           0.0096583,           0.0047109,             0.96913,             0.96916,             0.98563,             0.69338,            0.020168,           0.0074787,           0.0029268,           0.0092219,           0.0092219,           0.0092219
                  21,            0.025319,           0.0095261,           0.0046476,             0.97522,             0.97094,             0.98702,             0.69572,            0.019791,           0.0073961,           0.0027116,           0.0091406,           0.0091406,           0.0091406
                  22,            0.025203,           0.0094208,           0.0047941,             0.96223,             0.97907,             0.98792,             0.69974,            0.019761,           0.0073273,           0.0025856,           0.0090557,           0.0090557,           0.0090557
                  23,            0.024937,           0.0094852,           0.0045115,             0.96846,             0.97966,             0.98823,             0.70599,            0.019384,           0.0072847,           0.0024673,           0.0089673,           0.0089673,           0.0089673
                  24,            0.024986,           0.0094193,           0.0044948,             0.96706,             0.97445,             0.98469,             0.70177,            0.019322,           0.0072842,           0.0025888,           0.0088755,           0.0088755,           0.0088755
                  25,            0.024726,           0.0093388,           0.0045007,             0.96243,             0.97134,             0.98687,             0.70409,            0.019448,           0.0072884,           0.0027454,           0.0087804,           0.0087804,           0.0087804
                  26,            0.024781,           0.0093307,           0.0044632,              0.9746,             0.97401,             0.98714,             0.70856,            0.019127,           0.0073057,           0.0024524,            0.008682,            0.008682,            0.008682
                  27,            0.024412,           0.0093482,           0.0046853,             0.96903,             0.97438,             0.98583,             0.70762,            0.019279,           0.0072621,            0.002714,           0.0085805,           0.0085805,           0.0085805
                  28,            0.024355,            0.009088,           0.0043591,             0.97234,             0.96716,             0.98683,             0.71143,            0.019009,           0.0072038,            0.002572,           0.0084759,           0.0084759,           0.0084759
                  29,            0.024425,           0.0093229,           0.0042966,             0.97367,             0.96865,              0.9868,             0.71347,            0.018957,           0.0071558,           0.0025526,           0.0083684,           0.0083684,           0.0083684
                  30,            0.024163,            0.009265,           0.0044946,             0.97513,             0.97373,              0.9871,             0.71403,            0.018715,           0.0070974,           0.0024364,           0.0082581,           0.0082581,           0.0082581
                  31,             0.02434,           0.0091233,           0.0042216,             0.96549,              0.9807,             0.98846,             0.71696,            0.018769,           0.0070988,            0.002545,            0.008145,            0.008145,            0.008145
                  32,            0.024098,           0.0091323,            0.004126,             0.98318,             0.96925,             0.98894,             0.71536,            0.018766,            0.007107,           0.0022175,           0.0080294,           0.0080294,           0.0080294
                  33,            0.023722,           0.0090725,           0.0041479,              0.9708,             0.97998,             0.98742,             0.71691,             0.01878,           0.0070577,           0.0022669,           0.0079112,           0.0079112,           0.0079112
                  34,            0.023829,           0.0090259,           0.0043717,             0.97188,             0.97467,             0.98587,             0.71681,            0.018824,           0.0070893,           0.0024139,           0.0077907,           0.0077907,           0.0077907
                  35,            0.023636,           0.0090919,           0.0040839,             0.97986,             0.96878,             0.98843,             0.71383,            0.018788,           0.0070585,           0.0023477,           0.0076679,           0.0076679,           0.0076679
                  36,            0.023559,           0.0089394,           0.0041682,              0.9758,             0.97072,             0.98831,             0.71432,             0.01879,           0.0070558,           0.0024481,            0.007543,            0.007543,            0.007543
                  37,             0.02356,           0.0089981,            0.004205,             0.96935,             0.97596,             0.99037,             0.72051,            0.018516,           0.0070286,           0.0023521,            0.007416,            0.007416,            0.007416
                  38,             0.02327,           0.0091047,            0.004032,             0.97435,             0.97173,              0.9868,             0.71928,            0.018629,           0.0070541,           0.0023252,           0.0072872,           0.0072872,           0.0072872
                  39,            0.023159,           0.0088753,           0.0038445,             0.97352,             0.97446,              0.9881,             0.71775,            0.018521,           0.0070157,           0.0024463,           0.0071566,           0.0071566,           0.0071566
                  40,            0.023106,           0.0091035,           0.0039939,             0.96786,             0.97746,             0.98758,             0.71459,             0.01853,           0.0069695,           0.0025003,           0.0070243,           0.0070243,           0.0070243
                  41,            0.023255,           0.0088924,            0.003851,             0.97282,             0.97528,             0.98884,             0.71841,            0.018449,           0.0069497,           0.0023033,           0.0068906,           0.0068906,           0.0068906
                  42,             0.02316,           0.0087872,           0.0039366,             0.97297,             0.97621,             0.98921,             0.72525,            0.018277,           0.0068867,           0.0023226,           0.0067555,           0.0067555,           0.0067555
                  43,            0.022954,           0.0089787,           0.0040121,             0.97605,             0.97362,             0.98974,             0.72426,            0.018308,           0.0069589,           0.0022825,           0.0066191,           0.0066191,           0.0066191
                  44,            0.022862,           0.0089753,           0.0035028,             0.97678,             0.97066,             0.98783,             0.72094,            0.018442,           0.0069535,           0.0022779,           0.0064816,           0.0064816,           0.0064816
                  45,            0.022738,           0.0087718,           0.0036252,             0.97928,             0.96246,             0.98715,             0.72199,             0.01834,           0.0069145,           0.0024829,           0.0063432,           0.0063432,           0.0063432
                  46,            0.022735,           0.0088542,           0.0036779,             0.97359,             0.97558,             0.98882,              0.7248,            0.018316,           0.0069212,           0.0022313,            0.006204,            0.006204,            0.006204
