               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089278,             0.03252,            0.034003,             0.01237,             0.19292,            0.010437,           0.0022701,            0.076862,            0.030316,            0.033207,           0.0033257,           0.0033257,            0.070068
                   1,            0.063737,            0.022692,            0.022638,             0.53832,             0.67914,             0.59785,             0.20755,            0.043341,             0.01764,            0.014398,           0.0066576,           0.0066576,            0.040067
                   2,             0.05217,            0.016805,            0.014017,             0.80175,             0.86327,             0.86514,             0.34553,             0.03887,            0.013931,           0.0068717,           0.0099835,           0.0099835,             0.01006
                   3,            0.042749,             0.01415,           0.0095393,             0.92642,             0.93087,             0.95592,             0.53974,            0.030416,            0.010891,           0.0047065,             0.00998,             0.00998,             0.00998
                   4,             0.03722,            0.012741,           0.0077285,             0.94434,             0.95617,             0.97378,              0.5809,            0.026696,             0.00967,           0.0036546,             0.00998,             0.00998,             0.00998
                   5,            0.033903,            0.011853,           0.0072719,             0.96802,             0.94759,             0.98205,             0.60145,             0.02631,           0.0092674,           0.0038366,           0.0099645,           0.0099645,           0.0099645
                   6,            0.032218,            0.011391,           0.0068336,             0.95743,             0.95917,             0.97433,             0.61915,            0.024597,           0.0087941,           0.0033551,           0.0099446,           0.0099446,           0.0099446
                   7,            0.030923,             0.01109,           0.0065945,             0.94796,             0.95625,             0.97622,             0.64657,            0.022908,           0.0086183,           0.0037067,           0.0099203,           0.0099203,           0.0099203
                   8,            0.029894,            0.010934,           0.0065418,             0.95793,             0.96515,             0.97767,              0.6478,            0.022932,           0.0086329,           0.0031769,           0.0098916,           0.0098916,           0.0098916
                   9,            0.029446,            0.010696,           0.0058428,             0.96562,             0.96023,             0.98371,             0.66899,            0.021948,           0.0082712,           0.0029265,           0.0098586,           0.0098586,           0.0098586
                  10,            0.028713,            0.010438,           0.0058517,              0.9633,             0.97146,              0.9858,             0.67304,            0.021446,           0.0080614,            0.003013,           0.0098213,           0.0098213,           0.0098213
                  11,            0.028326,            0.010458,           0.0058341,             0.97642,             0.95339,             0.98483,             0.66369,             0.02178,           0.0080318,           0.0031882,           0.0097798,           0.0097798,           0.0097798
                  12,            0.027678,            0.010118,           0.0054339,             0.95472,             0.97968,             0.98449,             0.67204,            0.021714,           0.0080354,           0.0029955,            0.009734,            0.009734,            0.009734
                  13,             0.02759,            0.010065,           0.0052324,              0.9703,             0.96401,             0.98422,             0.67788,            0.021092,           0.0080069,           0.0026631,            0.009684,            0.009684,            0.009684
                  14,            0.026873,                0.01,           0.0053158,             0.96854,             0.96567,             0.98224,             0.68256,            0.020456,           0.0077392,           0.0029359,           0.0096299,           0.0096299,           0.0096299
                  15,            0.026629,           0.0099166,           0.0051593,             0.96524,             0.97189,             0.98468,             0.68261,            0.020571,           0.0077564,           0.0028634,           0.0095717,           0.0095717,           0.0095717
                  16,            0.026539,           0.0099009,           0.0051991,             0.97318,              0.9682,             0.98637,             0.68816,            0.020399,            0.007711,           0.0028384,           0.0095095,           0.0095095,           0.0095095
