               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089107,            0.032255,            0.033859,              0.4815,             0.26974,             0.14798,            0.030683,            0.065314,            0.029169,            0.030509,           0.0033257,           0.0033257,            0.070068
                   1,            0.062695,            0.021799,            0.022223,             0.48773,             0.74519,             0.58525,             0.20469,            0.043744,            0.014801,            0.014466,           0.0066576,           0.0066576,            0.040067
                   2,            0.052065,            0.016448,            0.014437,             0.76881,             0.79573,             0.81331,             0.36637,            0.037496,            0.013425,            0.015128,           0.0099835,           0.0099835,             0.01006
                   3,             0.04269,            0.014089,           0.0096078,              0.9507,              0.9349,              0.9675,              0.5429,            0.030423,            0.010626,           0.0043796,             0.00998,             0.00998,             0.00998
                   4,            0.036945,            0.012619,           0.0079827,             0.94694,             0.94532,             0.96378,             0.55799,            0.028505,           0.0097043,           0.0040503,             0.00998,             0.00998,             0.00998
                   5,            0.034037,            0.011842,           0.0072474,             0.95053,             0.95582,             0.97163,             0.59902,            0.025325,           0.0092674,            0.004483,           0.0099645,           0.0099645,           0.0099645
                   6,            0.032019,            0.011406,           0.0070297,             0.95421,             0.96189,             0.97495,             0.63124,             0.02373,           0.0089056,           0.0037562,           0.0099446,           0.0099446,           0.0099446
                   7,            0.030382,            0.010962,           0.0064217,             0.95617,             0.96371,             0.98137,              0.6391,             0.02352,           0.0087161,           0.0034883,           0.0099203,           0.0099203,           0.0099203
                   8,            0.029767,            0.010745,           0.0062195,             0.97285,             0.96075,             0.98374,             0.65365,            0.022427,           0.0084078,           0.0031302,           0.0098916,           0.0098916,           0.0098916
                   9,             0.02939,            0.010569,           0.0061543,             0.97241,              0.9633,             0.98488,             0.66851,            0.021866,           0.0081124,           0.0033147,           0.0098586,           0.0098586,           0.0098586
                  10,            0.028535,              0.0105,           0.0059899,             0.96844,             0.96734,             0.98376,             0.66827,            0.022003,           0.0081201,           0.0033092,           0.0098213,           0.0098213,           0.0098213
                  11,            0.028051,             0.01026,           0.0057045,             0.97152,             0.96115,             0.98232,             0.66873,            0.021483,           0.0079948,           0.0030085,           0.0097798,           0.0097798,           0.0097798
                  12,            0.027322,            0.009973,           0.0055363,             0.96728,              0.9722,             0.98309,             0.67213,            0.020975,           0.0079543,           0.0030281,            0.009734,            0.009734,            0.009734
