               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088753,            0.031988,            0.033668,            0.068897,             0.18918,            0.039431,           0.0082998,            0.067961,            0.031584,            0.030411,           0.0033257,           0.0033257,            0.070068
                   1,             0.06237,            0.021909,            0.022325,             0.51964,             0.80288,             0.68961,             0.25802,             0.04492,            0.015643,            0.014332,           0.0066576,           0.0066576,            0.040067
                   2,            0.051711,            0.016262,            0.013915,             0.80742,             0.83522,             0.88704,             0.40823,            0.037622,            0.013444,           0.0067357,           0.0099835,           0.0099835,             0.01006
                   3,            0.042589,            0.014115,           0.0099392,              0.9312,             0.92582,             0.96164,             0.49566,            0.032328,            0.011036,           0.0042612,             0.00998,             0.00998,             0.00998
                   4,            0.036598,            0.012442,           0.0080403,             0.95407,             0.93834,             0.97497,             0.58987,            0.026289,           0.0098791,           0.0042848,             0.00998,             0.00998,             0.00998
                   5,            0.033639,            0.011815,           0.0072075,             0.95829,             0.95812,             0.98129,             0.61661,            0.025238,           0.0091202,           0.0036347,           0.0099645,           0.0099645,           0.0099645
                   6,            0.031958,            0.011387,           0.0068917,              0.9547,              0.9596,             0.98169,             0.64835,             0.02332,           0.0086948,           0.0036944,           0.0099446,           0.0099446,           0.0099446
                   7,            0.031049,            0.010951,            0.006553,             0.94333,             0.95758,             0.97964,             0.63466,            0.024412,           0.0089403,           0.0034905,           0.0099203,           0.0099203,           0.0099203
                   8,            0.029671,            0.010924,            0.005975,             0.96759,             0.96745,             0.98495,             0.66392,            0.021764,           0.0082556,           0.0030458,           0.0098916,           0.0098916,           0.0098916
                   9,            0.028959,            0.010506,           0.0059211,             0.96101,             0.96556,             0.98025,             0.66024,            0.022437,           0.0082311,            0.003091,           0.0098586,           0.0098586,           0.0098586
                  10,            0.028874,            0.010392,           0.0058495,             0.94618,             0.97016,             0.98121,             0.66422,            0.021843,           0.0080593,           0.0032493,           0.0098213,           0.0098213,           0.0098213
                  11,            0.027965,            0.010228,           0.0055397,             0.96217,             0.97243,             0.98422,             0.66933,            0.021574,           0.0080694,           0.0030487,           0.0097798,           0.0097798,           0.0097798
                  12,            0.027448,            0.010234,           0.0054543,             0.95479,             0.97559,             0.98512,             0.67307,            0.020878,           0.0078812,           0.0029217,            0.009734,            0.009734,            0.009734
                  13,            0.027147,            0.010066,           0.0055797,             0.96592,             0.97811,             0.98518,             0.67995,            0.020813,            0.007776,           0.0029019,            0.009684,            0.009684,            0.009684
                  14,            0.026703,           0.0098157,           0.0054387,             0.96657,             0.96872,             0.97944,             0.67363,            0.020943,            0.007744,           0.0029881,           0.0096299,           0.0096299,           0.0096299
                  15,            0.026561,           0.0098515,           0.0053079,             0.97197,             0.96846,             0.98213,             0.67893,            0.020637,           0.0076705,           0.0028634,           0.0095717,           0.0095717,           0.0095717
                  16,            0.026346,           0.0097628,           0.0050378,             0.96647,             0.97139,             0.98577,             0.68499,             0.02054,           0.0076208,           0.0026423,           0.0095095,           0.0095095,           0.0095095
                  17,            0.026192,           0.0096106,           0.0049293,             0.95832,             0.97203,             0.97811,             0.67681,            0.020421,           0.0076269,           0.0029273,           0.0094434,           0.0094434,           0.0094434
                  18,            0.025927,           0.0097193,           0.0050036,             0.96842,             0.97199,             0.98831,             0.69838,            0.019759,           0.0074354,           0.0027088,           0.0093733,           0.0093733,           0.0093733
                  19,            0.025743,           0.0095448,            0.005024,             0.96394,             0.97813,             0.98619,             0.69193,            0.019886,           0.0074642,             0.00292,           0.0092995,           0.0092995,           0.0092995
                  20,            0.025477,           0.0095806,           0.0049476,             0.96215,             0.96838,             0.98199,             0.69262,            0.019543,           0.0073834,           0.0030367,           0.0092219,           0.0092219,           0.0092219
                  21,            0.025378,            0.009593,           0.0048495,             0.96968,             0.97456,             0.98478,             0.68859,            0.020019,           0.0074432,           0.0027342,           0.0091406,           0.0091406,           0.0091406
                  22,            0.025245,           0.0094721,           0.0048016,             0.96535,             0.97353,             0.98394,             0.70271,            0.019544,           0.0073543,           0.0027386,           0.0090557,           0.0090557,           0.0090557
                  23,            0.024898,           0.0093443,           0.0047318,             0.97542,             0.96163,             0.98505,             0.69708,            0.019493,           0.0073118,           0.0026881,           0.0089673,           0.0089673,           0.0089673
                  24,            0.024957,           0.0094155,           0.0044944,             0.97785,             0.96669,             0.98701,             0.70313,             0.01928,           0.0072567,           0.0025037,           0.0088755,           0.0088755,           0.0088755
                  25,            0.024656,            0.009298,            0.004723,             0.96578,              0.9822,             0.98427,              0.7022,            0.019526,           0.0073102,           0.0025079,           0.0087804,           0.0087804,           0.0087804
                  26,             0.02467,           0.0093272,           0.0043828,             0.96565,             0.98087,             0.98754,             0.71126,            0.019166,           0.0072182,           0.0023999,            0.008682,            0.008682,            0.008682
                  27,            0.024534,             0.00933,           0.0042458,             0.97154,             0.97314,             0.98286,             0.70223,            0.019134,           0.0072354,           0.0026541,           0.0085805,           0.0085805,           0.0085805
                  28,            0.024405,           0.0092564,           0.0046049,             0.96768,             0.97752,              0.9862,             0.70841,            0.018916,           0.0071765,           0.0024532,           0.0084759,           0.0084759,           0.0084759
                  29,             0.02427,           0.0092047,           0.0044858,             0.96964,             0.96708,             0.98503,             0.71114,            0.018993,           0.0071081,            0.002595,           0.0083684,           0.0083684,           0.0083684
                  30,            0.024182,           0.0092215,           0.0041965,             0.97194,             0.96925,             0.98744,             0.71073,            0.019054,            0.007146,            0.002684,           0.0082581,           0.0082581,           0.0082581
                  31,            0.024061,           0.0091247,           0.0041378,             0.97045,             0.97314,              0.9858,               0.711,            0.018853,            0.007111,           0.0025653,            0.008145,            0.008145,            0.008145
                  32,            0.023966,           0.0091317,           0.0043192,              0.9762,             0.96696,             0.98151,             0.70539,            0.018961,           0.0071657,           0.0025119,           0.0080294,           0.0080294,           0.0080294
                  33,             0.02366,           0.0090925,           0.0040547,             0.97129,             0.97329,             0.98628,             0.71367,            0.018661,           0.0070836,           0.0025358,           0.0079112,           0.0079112,           0.0079112
                  34,            0.023715,           0.0090734,           0.0039991,             0.96874,             0.97254,             0.98771,             0.71882,            0.018551,           0.0070188,            0.002615,           0.0077907,           0.0077907,           0.0077907
                  35,            0.023823,            0.009173,           0.0042065,             0.97397,             0.97313,             0.98741,             0.71351,            0.018566,           0.0070546,           0.0025874,           0.0076679,           0.0076679,           0.0076679
                  36,            0.023362,           0.0089462,           0.0042516,             0.96264,               0.981,             0.98694,             0.71226,            0.018584,           0.0069783,           0.0024273,            0.007543,            0.007543,            0.007543
                  37,            0.023627,            0.009053,           0.0038339,             0.96994,             0.97813,             0.98697,              0.7178,              0.0185,           0.0069891,           0.0024661,            0.007416,            0.007416,            0.007416
                  38,            0.023449,           0.0089576,           0.0040501,             0.97434,             0.97181,             0.98617,             0.71463,            0.018617,           0.0070313,           0.0024769,           0.0072872,           0.0072872,           0.0072872
                  39,            0.023341,           0.0089492,           0.0040782,             0.97576,             0.97369,             0.98503,             0.71711,            0.018432,           0.0069556,           0.0024616,           0.0071566,           0.0071566,           0.0071566
                  40,            0.023108,           0.0089504,           0.0040087,             0.97514,             0.97043,             0.98874,              0.7235,            0.018209,           0.0069548,           0.0024166,           0.0070243,           0.0070243,           0.0070243
                  41,            0.023062,           0.0088122,           0.0038924,             0.96941,             0.97188,             0.98495,              0.7153,            0.018405,           0.0069506,           0.0025407,           0.0068906,           0.0068906,           0.0068906
                  42,            0.023111,           0.0089191,           0.0037507,             0.96814,             0.97396,             0.98765,             0.71907,            0.018307,           0.0069653,           0.0024848,           0.0067555,           0.0067555,           0.0067555
                  43,            0.023004,           0.0088579,           0.0039471,             0.97423,             0.97372,             0.98897,             0.72533,            0.018231,           0.0069137,           0.0023493,           0.0066191,           0.0066191,           0.0066191
