               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084927,            0.031252,             0.03285,             0.24253,             0.58205,             0.30281,            0.068811,            0.057377,            0.022758,            0.020909,           0.0033257,           0.0033257,            0.070068
                   1,            0.059254,            0.019854,            0.019672,             0.71698,              0.7845,             0.82834,             0.33866,            0.041554,            0.015997,             0.01257,           0.0066576,           0.0066576,            0.040067
                   2,            0.050841,            0.016112,            0.012837,             0.80049,             0.84856,             0.88861,             0.36414,            0.038294,            0.013516,           0.0098251,           0.0099835,           0.0099835,             0.01006
                   3,            0.042419,            0.013703,           0.0091871,             0.93768,             0.92792,             0.96102,             0.51138,            0.031074,            0.010473,           0.0046118,             0.00998,             0.00998,             0.00998
                   4,            0.036217,             0.01237,           0.0082034,             0.95161,              0.9527,             0.97755,             0.59996,            0.025872,           0.0096674,           0.0041741,             0.00998,             0.00998,             0.00998
                   5,            0.034154,            0.011862,           0.0071692,             0.95188,             0.95318,             0.97829,             0.63044,            0.024339,           0.0090742,           0.0037605,           0.0099645,           0.0099645,           0.0099645
                   6,            0.031707,            0.011273,           0.0066978,              0.9541,             0.97223,             0.98269,             0.64028,            0.023958,           0.0087265,           0.0032964,           0.0099446,           0.0099446,           0.0099446
                   7,            0.030434,            0.010988,           0.0062817,             0.96294,             0.95382,             0.97758,              0.6286,            0.023768,           0.0086512,           0.0036553,           0.0099203,           0.0099203,           0.0099203
                   8,            0.029801,            0.010768,           0.0061162,               0.964,             0.96278,             0.98417,             0.66301,            0.022302,           0.0082214,           0.0032903,           0.0098916,           0.0098916,           0.0098916
                   9,            0.029019,            0.010459,           0.0061084,             0.96585,             0.95707,             0.98489,                0.67,            0.021653,            0.008306,           0.0035445,           0.0098586,           0.0098586,           0.0098586
                  10,            0.028228,            0.010259,           0.0058009,             0.96408,             0.96909,             0.98643,             0.67493,            0.020979,           0.0079786,           0.0030684,           0.0098213,           0.0098213,           0.0098213
                  11,            0.027996,             0.01026,           0.0054622,             0.97138,             0.96096,             0.98165,             0.67151,            0.021062,           0.0079262,           0.0033148,           0.0097798,           0.0097798,           0.0097798
                  12,            0.027517,            0.010136,           0.0057156,             0.97297,             0.96468,             0.98117,             0.67489,            0.021426,           0.0079579,           0.0028763,            0.009734,            0.009734,            0.009734
                  13,            0.027115,           0.0099825,           0.0055606,             0.97052,             0.95817,             0.98515,             0.67838,            0.020801,            0.007887,           0.0027615,            0.009684,            0.009684,            0.009684
                  14,            0.026817,           0.0098432,           0.0050878,             0.96439,             0.97396,             0.98655,             0.67349,            0.021212,           0.0078214,           0.0030578,           0.0096299,           0.0096299,           0.0096299
                  15,            0.026419,           0.0098088,            0.005235,             0.97286,              0.9623,             0.98218,             0.68834,            0.020136,           0.0076033,           0.0031339,           0.0095717,           0.0095717,           0.0095717
                  16,            0.026344,           0.0097672,           0.0053704,             0.97029,              0.9733,             0.98483,             0.68892,            0.020704,           0.0076186,           0.0026022,           0.0095095,           0.0095095,           0.0095095
                  17,            0.025894,           0.0096186,           0.0051713,             0.96774,             0.96589,              0.9847,             0.69892,            0.019954,           0.0076024,           0.0028151,           0.0094434,           0.0094434,           0.0094434
                  18,            0.025988,           0.0096827,           0.0047607,             0.96811,             0.97752,              0.9872,             0.68638,            0.020428,           0.0075823,           0.0026407,           0.0093733,           0.0093733,           0.0093733
                  19,            0.025715,           0.0095908,           0.0049568,             0.96847,             0.96547,             0.98534,             0.70208,            0.019568,           0.0073999,           0.0029079,           0.0092995,           0.0092995,           0.0092995
                  20,            0.025401,            0.009639,           0.0047479,             0.96762,             0.97292,             0.98739,             0.70402,            0.019588,           0.0073086,           0.0026876,           0.0092219,           0.0092219,           0.0092219
                  21,            0.025179,            0.009451,            0.004848,             0.96827,             0.97337,             0.98484,             0.70315,            0.019502,           0.0073305,           0.0025083,           0.0091406,           0.0091406,           0.0091406
                  22,            0.025149,           0.0094022,           0.0046309,             0.96961,             0.97819,             0.98651,             0.70974,            0.019032,           0.0072784,           0.0026119,           0.0090557,           0.0090557,           0.0090557
                  23,            0.024863,           0.0094635,            0.004902,             0.97125,             0.96831,             0.98809,             0.71046,            0.019232,           0.0072526,           0.0027465,           0.0089673,           0.0089673,           0.0089673
                  24,            0.024856,           0.0094502,           0.0045377,             0.97897,              0.9615,             0.98793,             0.70878,            0.019189,           0.0072852,           0.0025647,           0.0088755,           0.0088755,           0.0088755
                  25,             0.02468,           0.0092841,           0.0044014,             0.97445,             0.96632,             0.98889,             0.70749,            0.019205,           0.0072061,           0.0024962,           0.0087804,           0.0087804,           0.0087804
                  26,            0.024362,           0.0093359,           0.0046391,             0.97446,             0.96786,             0.98487,             0.70751,            0.019201,           0.0072447,           0.0026505,            0.008682,            0.008682,            0.008682
                  27,            0.024398,           0.0092238,           0.0043171,             0.97297,             0.96849,             0.98572,             0.71423,            0.019032,           0.0072073,           0.0026091,           0.0085805,           0.0085805,           0.0085805
